gene_id,disease_name,disease_id,score,evidence_level
1991,Cyclic neutropenia,C0221023,1,NA
596,"Lymphoma, Non Hodgkin's",C0024305,1,NA
90865,Asthma,C0004096,1,NA
4023,Adult-Onset Diabetes Mellitus,C0011860,1,NA
7040,Asthma,C0004096,1,NA
3651,Adult-Onset Diabetes Mellitus,C0011860,1,NA
1029,ALL,C0023449,1,NA
5078,Adult-Onset Diabetes Mellitus,C0011860,1,NA
8878,PAGET'S BONE DISEASE,C0029401,1,NA
5506,Adult-Onset Diabetes Mellitus,C0011860,1,NA
2646,Adult-Onset Diabetes Mellitus,C0011860,1,NA
3559,"Diabetes Mellitus, Insulin-Dependent",C0011854,1,NA
3674,Thrombasthenia,C0040015,1,NA
5468,Adult-Onset Diabetes Mellitus,C0011860,1,NA
596,Acute myeloid leukemia,C0023467,1,NA
10891,Adult-Onset Diabetes Mellitus,C0011860,1,NA
6462,Adult-Onset Diabetes Mellitus,C0011860,1,NA
3845,Acute myeloid leukemia,C0023467,1,NA
3479,Adult-Onset Diabetes Mellitus,C0011860,1,NA
1803,Adult-Onset Diabetes Mellitus,C0011860,1,NA
3630,"Diabetes Mellitus, Insulin-Dependent",C0011854,1,NA
3569,Adult-Onset Diabetes Mellitus,C0011860,1,NA
7157,Acute myeloid leukemia,C0023467,1,NA
6934,Diabetes Mellitus,C0011849,1,NA
3586,Rheumatoid arthritis,C0003873,1,NA
3767,Adult-Onset Diabetes Mellitus,C0011860,1,NA
1437,Acute myeloid leukemia,C0023467,1,NA
2645,Diabetes Mellitus,C0011849,1,NA
1636,Adult-Onset Diabetes Mellitus,C0011860,1,NA
3417,Acute myeloid leukemia,C0023467,1,NA
3784,Adult-Onset Diabetes Mellitus,C0011860,1,NA
2688,"Dwarfism, Pituitary",C0013338,1,NA
3767,Diabetes Mellitus,C0011849,1,NA
4843,Adult-Onset Diabetes Mellitus,C0011860,1,NA
197,Adult-Onset Diabetes Mellitus,C0011860,1,NA
6928,Adult-Onset Diabetes Mellitus,C0011860,1,NA
3569,Asthma,C0004096,1,NA
4340,Multiple Sclerosis,C0026769,1,NA
5798,"Diabetes Mellitus, Insulin-Dependent",C0011854,1,NA
2158,"Deficiencies, Factor IX",C0008533,1,NA
3690,Thrombasthenia,C0040015,1,NA
3552,Rheumatoid arthritis,C0003873,1,NA
1493,"Diabetes Mellitus, Insulin-Dependent",C0011854,1,NA
50943,"Diabetes Mellitus, Insulin-Dependent",C0011854,1,NA
3630,Adult-Onset Diabetes Mellitus,C0011860,1,NA
7157,Chronic lymphocytic leukemia,C0023434,1,NA
2717,Anderson Fabry Disease,C0002986,1,NA
2322,Acute myeloid leukemia,C0023467,1,NA
3418,Acute myeloid leukemia,C0023467,1,NA
64127,Crohn Disease,C0010346,1,NA
3567,Asthma,C0004096,1,NA
3815,Acute myeloid leukemia,C0023467,1,NA
2645,Adult-Onset Diabetes Mellitus,C0011860,1,NA
1050,Acute myeloid leukemia,C0023467,1,NA
3553,Asthma,C0004096,1,NA
171023,Acute myeloid leukemia,C0023467,1,NA
1636,"Diabetes Mellitus, Insulin-Dependent",C0011854,1,NA
2695,Adult-Onset Diabetes Mellitus,C0011860,1,NA
79068,Adult-Onset Diabetes Mellitus,C0011860,1,NA
3667,Adult-Onset Diabetes Mellitus,C0011860,1,NA
3425,Lipochondrodystrophies,C0023786,1,NA
7124,Rheumatoid arthritis,C0003873,1,NA
1440,Acute myeloid leukemia,C0023467,1,NA
1234,HIV infection,C0019693,1,NA
7040,Cystic Fibrosis,C0010674,1,NA
3123,Multiple Sclerosis,C0026769,1,NA
240,Asthma,C0004096,1,NA
5770,Adult-Onset Diabetes Mellitus,C0011860,1,NA
4760,Adult-Onset Diabetes Mellitus,C0011860,1,NA
3605,Rheumatoid arthritis,C0003873,1,NA
613,ALL,C0023449,1,NA
5950,Adult-Onset Diabetes Mellitus,C0011860,1,NA
3559,Multiple Sclerosis,C0026769,1,NA
6774,Ulcerative colitis,C0009324,1,NA
958,Rheumatoid arthritis,C0003873,1,NA
2688,XO syndrome,C0041408,0.95,NA
2641,Adult-Onset Diabetes Mellitus,C0011860,0.95,NA
2158,Hemophilia A,C0019069,0.95,NA
26291,Adult-Onset Diabetes Mellitus,C0011860,0.95,NA
9370,Diabetes Mellitus,C0011849,0.95,NA
1116,Asthma,C0004096,0.95,NA
847,Adult-Onset Diabetes Mellitus,C0011860,0.95,NA
2811,Thrombocytopenia,C0040034,0.95,NA
6648,Adult-Onset Diabetes Mellitus,C0011860,0.95,NA
2638,Multiple Sclerosis,C0026769,0.95,NA
3117,"Diabetes Mellitus, Insulin-Dependent",C0011854,0.95,NA
5465,Adult-Onset Diabetes Mellitus,C0011860,0.95,NA
6647,Diabetes Mellitus,C0011849,0.95,NA
5241,Endometrioses,C0014175,0.95,NA
3416,Adult-Onset Diabetes Mellitus,C0011860,0.95,NA
6352,Asthma,C0004096,0.95,NA
6720,Adult-Onset Diabetes Mellitus,C0011860,0.95,NA
948,Adult-Onset Diabetes Mellitus,C0011860,0.95,NA
4318,Asthma,C0004096,0.95,NA
11132,Adult-Onset Diabetes Mellitus,C0011860,0.95,NA
8809,Asthma,C0004096,0.95,NA
945,Acute myeloid leukemia,C0023467,0.95,NA
3569,Rheumatoid arthritis,C0003873,0.95,NA
3557,Rheumatoid arthritis,C0003873,0.95,NA
3630,Hypoglycemia,C0020615,0.95,NA
3586,Ulcerative colitis,C0009324,0.95,NA
3479,Acromegaly,C0001206,0.95,NA
2688,Acromegaly,C0001206,0.95,NA
6347,Asthma,C0004096,0.95,NA
7422,Rheumatoid arthritis,C0003873,0.95,NA
3558,Asthma,C0004096,0.95,NA
324,Malignant neoplasm of colon,C0007102,0.95,NA
80339,Adult-Onset Diabetes Mellitus,C0011860,0.95,NA
3371,Asthma,C0004096,0.95,NA
7415,PAGET'S BONE DISEASE,C0029401,0.95,NA
921,Chronic lymphocytic leukemia,C0023434,0.95,NA
3566,Asthma,C0004096,0.95,NA
847,Diabetes Mellitus,C0011849,0.95,NA
6513,Adult-Onset Diabetes Mellitus,C0011860,0.95,NA
5781,Acute myeloid leukemia,C0023467,0.95,NA
11251,Asthma,C0004096,0.95,NA
6037,Asthma,C0004096,0.95,NA
26191,Diabetes Mellitus,C0011849,0.95,NA
1440,Asthma,C0004096,0.95,NA
23569,Rheumatoid arthritis,C0003873,0.95,NA
149233,Rheumatoid arthritis,C0003873,0.95,NA
929,Asthma,C0004096,0.95,NA
23411,Diabetes Mellitus,C0011849,0.95,NA
4843,Asthma,C0004096,0.95,NA
3586,Adult-Onset Diabetes Mellitus,C0011860,0.95,NA
6647,Adult-Onset Diabetes Mellitus,C0011860,0.95,NA
2642,Adult-Onset Diabetes Mellitus,C0011860,0.95,NA
3162,Adult-Onset Diabetes Mellitus,C0011860,0.95,NA
2950,Asthma,C0004096,0.95,NA
3039,Adult-Onset Diabetes Mellitus,C0011860,0.95,NA
3569,"Diabetes Mellitus, Insulin-Dependent",C0011854,0.95,NA
2214,Rheumatoid arthritis,C0003873,0.95,NA
3667,Diabetes Mellitus,C0011849,0.95,NA
383,Asthma,C0004096,0.95,NA
3663,Rheumatoid arthritis,C0003873,0.95,NA
7466,Adult-Onset Diabetes Mellitus,C0011860,0.95,NA
8660,Adult-Onset Diabetes Mellitus,C0011860,0.95,NA
54205,Thrombocytopenia,C0040034,0.95,NA
6514,Adult-Onset Diabetes Mellitus,C0011860,0.95,NA
5167,Adult-Onset Diabetes Mellitus,C0011860,0.95,NA
2623,Thrombocytopenia,C0040034,0.95,NA
2120,Acute myeloid leukemia,C0023467,0.95,NA
4261,Rheumatoid arthritis,C0003873,0.95,NA
6833,Adult-Onset Diabetes Mellitus,C0011860,0.95,NA
2120,Thrombocytopenia,C0040034,0.9,NA
2212,Rheumatoid arthritis,C0003873,0.9,NA
6583,Rheumatoid arthritis,C0003873,0.9,NA
117156,Asthma,C0004096,0.9,NA
3662,Chronic lymphocytic leukemia,C0023434,0.9,NA
149233,Ulcerative colitis,C0009324,0.9,NA
8301,Acute myeloid leukemia,C0023467,0.9,NA
9479,Adult-Onset Diabetes Mellitus,C0011860,0.9,NA
10019,"Diabetes Mellitus, Insulin-Dependent",C0011854,0.9,NA
2313,Thrombocytopenia,C0040034,0.9,NA
2322,ALL,C0023449,0.9,NA
3159,Adult-Onset Diabetes Mellitus,C0011860,0.9,NA
3953,Adult-Onset Diabetes Mellitus,C0011860,0.9,NA
2212,Thrombocytopenia,C0040034,0.9,NA
8028,Acute myeloid leukemia,C0023467,0.9,NA
2672,Acute myeloid leukemia,C0023467,0.9,NA
10133,PAGET'S BONE DISEASE,C0029401,0.9,NA
23274,Multiple Sclerosis,C0026769,0.9,NA
3717,Ulcerative colitis,C0009324,0.9,NA
23274,"Diabetes Mellitus, Insulin-Dependent",C0011854,0.9,NA
7466,Diabetes Mellitus,C0011849,0.9,NA
149233,Ankylosing spondylitis,C0038013,0.9,NA
4544,Adult-Onset Diabetes Mellitus,C0011860,0.9,NA
4852,Adult-Onset Diabetes Mellitus,C0011860,0.9,NA
9966,Ulcerative colitis,C0009324,0.9,NA
177,Asthma,C0004096,0.9,NA
27159,Asthma,C0004096,0.9,NA
999,Asthma,C0004096,0.9,NA
7941,Adult-Onset Diabetes Mellitus,C0011860,0.9,NA
1232,Asthma,C0004096,0.9,NA
2120,ALL,C0023449,0.9,NA
7124,Cystic Fibrosis,C0010674,0.9,NA
5599,Adult-Onset Diabetes Mellitus,C0011860,0.9,NA
3605,Multiple Sclerosis,C0026769,0.9,NA
940,Multiple Sclerosis,C0026769,0.9,NA
5243,HIV infection,C0019693,0.9,NA
3553,Multiple Sclerosis,C0026769,0.9,NA
847,"Diabetes Mellitus, Insulin-Dependent",C0011854,0.9,NA
3593,Asthma,C0004096,0.9,NA
3558,"Diabetes Mellitus, Insulin-Dependent",C0011854,0.9,NA
3578,Asthma,C0004096,0.9,NA
177,"Diabetes Mellitus, Insulin-Dependent",C0011854,0.9,NA
1235,Rheumatoid arthritis,C0003873,0.9,NA
3574,Multiple Sclerosis,C0026769,0.9,NA
1493,Multiple Sclerosis,C0026769,0.9,NA
3586,"Diabetes Mellitus, Insulin-Dependent",C0011854,0.9,NA
2539,Diabetes Mellitus,C0011849,0.9,NA
6347,HIV infection,C0019693,0.9,NA
6688,Acute myeloid leukemia,C0023467,0.9,NA
3553,"Diabetes Mellitus, Insulin-Dependent",C0011854,0.9,NA
1401,"Diabetes Mellitus, Insulin-Dependent",C0011854,0.9,NA
5741,"Diabetes Mellitus, Insulin-Dependent",C0011854,0.9,NA
5741,Adult-Onset Diabetes Mellitus,C0011860,0.9,NA
7099,Adult-Onset Diabetes Mellitus,C0011860,0.9,NA
114548,Cryopyrin associated periodic syndrome (disorder),C2316212,0.9,NA
940,"Diabetes Mellitus, Insulin-Dependent",C0011854,0.9,NA
4297,ALL,C0023449,0.9,NA
4353,Cystic Fibrosis,C0010674,0.9,NA
5327,Adult-Onset Diabetes Mellitus,C0011860,0.9,NA
2335,Diabetes Mellitus,C0011849,0.9,NA
3569,Multiple Sclerosis,C0026769,0.9,NA
7450,Thrombocytopenia,C0040034,0.9,NA
1588,Endometrioses,C0014175,0.9,NA
1906,Adult-Onset Diabetes Mellitus,C0011860,0.9,NA
5336,Chronic lymphocytic leukemia,C0023434,0.9,NA
4524,ALL,C0023449,0.9,NA
9370,Rheumatoid arthritis,C0003873,0.9,NA
6774,Rheumatoid arthritis,C0003873,0.9,NA
5327,Pulmonary Embolism,C0034065,0.9,NA
5788,Multiple Sclerosis,C0026769,0.9,NA
3383,Adult-Onset Diabetes Mellitus,C0011860,0.9,NA
6696,Rheumatoid arthritis,C0003873,0.9,NA
3553,Cystic Fibrosis,C0010674,0.9,NA
7035,Hemophilia A,C0019069,0.9,NA
5743,Asthma,C0004096,0.9,NA
632,Rheumatoid arthritis,C0003873,0.9,NA
3156,Adult-Onset Diabetes Mellitus,C0011860,0.9,NA
7099,Asthma,C0004096,0.9,NA
3592,Multiple Sclerosis,C0026769,0.9,NA
6427,Acute myeloid leukemia,C0023467,0.9,NA
3553,Ulcerative colitis,C0009324,0.9,NA
3553,Dry eye syndrome,C0013238,0.9,NA
64805,Adult-Onset Diabetes Mellitus,C0011860,0.9,NA
3552,"Diabetes Mellitus, Insulin-Dependent",C0011854,0.9,NA
3569,Dry eye syndrome,C0013238,0.9,NA
6696,Multiple Sclerosis,C0026769,0.9,NA
940,Rheumatoid arthritis,C0003873,0.9,NA
3486,Adult-Onset Diabetes Mellitus,C0011860,0.9,NA
55937,Adult-Onset Diabetes Mellitus,C0011860,0.9,NA
3845,Endometrioses,C0014175,0.9,NA
64127,Ulcerative colitis,C0009324,0.9,NA
3552,Asthma,C0004096,0.9,NA
3554,"Diabetes Mellitus, Insulin-Dependent",C0011854,0.9,NA
942,Chronic lymphocytic leukemia,C0023434,0.9,NA
2944,Acute myeloid leukemia,C0023467,0.9,NA
1557,Acute Coronary Syndrome,C0948089,0.9,NA
9365,Adult-Onset Diabetes Mellitus,C0011860,0.9,NA
5468,Diabetes Mellitus,C0011849,0.9,NA
5133,Multiple Sclerosis,C0026769,0.9,NA
4318,Multiple Sclerosis,C0026769,0.9,NA
3570,Rheumatoid arthritis,C0003873,0.9,NA
4353,Asthma,C0004096,0.9,NA
3290,Adult-Onset Diabetes Mellitus,C0011860,0.9,NA
10800,Asthma,C0004096,0.9,NA
727,Asthma,C0004096,0.9,NA
4292,Malignant neoplasm of colon,C0007102,0.9,NA
3156,Diabetes Mellitus,C0011849,0.9,NA
7157,malignant squamous cell neoplasm of oral cavity (diagnosis),C0585362,0.9,NA
6347,Multiple Sclerosis,C0026769,0.9,NA
7350,Adult-Onset Diabetes Mellitus,C0011860,0.9,NA
25,Acute myeloid leukemia,C0023467,0.9,NA
2146,Acute myeloid leukemia,C0023467,0.9,NA
3486,"Diabetes Mellitus, Insulin-Dependent",C0011854,0.9,NA
11093,Thrombocytopenia,C0040034,0.9,NA
3557,"Diabetes Mellitus, Insulin-Dependent",C0011854,0.9,NA
4586,Dry eye syndrome,C0013238,0.9,NA
627,Asthma,C0004096,0.9,NA
3569,Chronic lymphocytic leukemia,C0023434,0.9,NA
2147,Pulmonary Embolism,C0034065,0.9,NA
6927,Diabetes Mellitus,C0011849,0.9,NA
3586,HIV infection,C0019693,0.9,NA
3240,"Diabetes Mellitus, Insulin-Dependent",C0011854,0.9,NA
6441,Asthma,C0004096,0.9,NA
7157,"Lymphoma, Non Hodgkin's",C0024305,0.9,NA
7132,Adult-Onset Diabetes Mellitus,C0011860,0.9,NA
3603,Asthma,C0004096,0.9,NA
19,Adult-Onset Diabetes Mellitus,C0011860,0.9,NA
590,Adult-Onset Diabetes Mellitus,C0011860,0.9,NA
1179,Asthma,C0004096,0.9,NA
246778,Asthma,C0004096,0.9,NA
3562,Asthma,C0004096,0.9,NA
6369,Asthma,C0004096,0.9,NA
959,HIV infection,C0019693,0.9,NA
51752,Ankylosing spondylitis,C0038013,0.9,NA
595,"Lymphoma, Non Hodgkin's",C0024305,0.9,NA
10344,Asthma,C0004096,0.9,NA
6649,Adult-Onset Diabetes Mellitus,C0011860,0.9,NA
3375,"Diabetes Mellitus, Insulin-Dependent",C0011854,0.9,NA
207,Malignant neoplasm of colon,C0007102,0.9,NA
5444,Adult-Onset Diabetes Mellitus,C0011860,0.9,NA
3953,Diabetes Mellitus,C0011849,0.9,NA
2122,Acute myeloid leukemia,C0023467,0.9,NA
3568,Asthma,C0004096,0.9,NA
1356,Diabetes Mellitus,C0011849,0.9,NA
3557,Adult-Onset Diabetes Mellitus,C0011860,0.9,NA
3481,Hypoglycemia,C0020615,0.9,NA
3575,Multiple Sclerosis,C0026769,0.9,NA
7124,Endometrioses,C0014175,0.9,NA
2638,"Diabetes Mellitus, Insulin-Dependent",C0011854,0.9,NA
7422,Asthma,C0004096,0.9,NA
7352,Adult-Onset Diabetes Mellitus,C0011860,0.9,NA
3458,Adult-Onset Diabetes Mellitus,C0011860,0.9,NA
3383,"Diabetes Mellitus, Insulin-Dependent",C0011854,0.9,NA
3091,Adult-Onset Diabetes Mellitus,C0011860,0.9,NA
3251,Hyperuricemia,C0740394,0.9,NA
5054,Asthma,C0004096,0.9,NA
7356,Asthma,C0004096,0.9,NA
80332,Asthma,C0004096,0.9,NA
8792,PAGET'S BONE DISEASE,C0029401,0.9,NA
3636,Adult-Onset Diabetes Mellitus,C0011860,0.85,NA
2944,Adult-Onset Diabetes Mellitus,C0011860,0.85,NA
4795,Rheumatoid arthritis,C0003873,0.85,NA
3135,Asthma,C0004096,0.85,NA
6927,"Diabetes Mellitus, Insulin-Dependent",C0011854,0.85,NA
3767,"Diabetes Mellitus, Insulin-Dependent",C0011854,0.85,NA
208,Hypoglycemia,C0020615,0.85,NA
4524,Rheumatoid arthritis,C0003873,0.85,NA
3119,Multiple Sclerosis,C0026769,0.85,NA
25,ALL,C0023449,0.85,NA
581,ALL,C0023449,0.85,NA
384,Asthma,C0004096,0.85,NA
1363,Adult-Onset Diabetes Mellitus,C0011860,0.85,NA
1056,Adult-Onset Diabetes Mellitus,C0011860,0.85,NA
3087,Adult-Onset Diabetes Mellitus,C0011860,0.85,NA
111,Adult-Onset Diabetes Mellitus,C0011860,0.85,NA
868,"Diabetes Mellitus, Insulin-Dependent",C0011854,0.85,NA
6556,Rheumatoid arthritis,C0003873,0.85,NA
6886,ALL,C0023449,0.85,NA
54551,Prader Willi Syndrome,C0032897,0.85,NA
10560,Diabetes Mellitus,C0011849,0.85,NA
4609,Acute myeloid leukemia,C0023467,0.85,NA
3176,Asthma,C0004096,0.85,NA
2944,Asthma,C0004096,0.85,NA
1441,Acute myeloid leukemia,C0023467,0.85,NA
861,ALL,C0023449,0.85,NA
1029,Acute myeloid leukemia,C0023467,0.85,NA
2692,"Dwarfism, Pituitary",C0013338,0.85,NA
7172,ALL,C0023449,0.85,NA
847,Asthma,C0004096,0.85,NA
5743,Rheumatoid arthritis,C0003873,0.85,NA
1906,Asthma,C0004096,0.85,NA
1588,Precocious puberty,C0034013,0.85,NA
30009,Asthma,C0004096,0.85,NA
7015,Acute myeloid leukemia,C0023467,0.85,NA
7048,Malignant neoplasm of colon,C0007102,0.85,NA
177,Rheumatoid arthritis,C0003873,0.85,NA
4683,ALL,C0023449,0.85,NA
7421,Multiple Sclerosis,C0026769,0.85,NA
3162,Asthma,C0004096,0.85,NA
1056,"Diabetes Mellitus, Insulin-Dependent",C0011854,0.85,NA
3596,Arthritic Psoriasis,C0003872,0.85,NA
5079,ALL,C0023449,0.85,NA
3123,"Diabetes Mellitus, Insulin-Dependent",C0011854,0.85,NA
3119,Asthma,C0004096,0.85,NA
387129,Asthma,C0004096,0.85,NA
6556,"Diabetes Mellitus, Insulin-Dependent",C0011854,0.85,NA
8021,Acute myeloid leukemia,C0023467,0.85,NA
673,Malignant neoplasm of colon,C0007102,0.85,NA
5243,ALL,C0023449,0.85,NA
2475,Adult-Onset Diabetes Mellitus,C0011860,0.85,NA
2475,Glioblastoma multiforme,C1621958,0.85,NA
6833,Hypoglycemia,C0020615,0.85,NA
3123,Asthma,C0004096,0.85,NA
10644,Adult-Onset Diabetes Mellitus,C0011860,0.85,NA
1080,"Insufficiencies, Pancreatic",C0267963,0.85,NA
4436,Malignant neoplasm of colon,C0007102,0.85,NA
3557,Asthma,C0004096,0.85,NA
1080,Asthma,C0004096,0.85,NA
54901,Diabetes Mellitus,C0011849,0.85,NA
3560,Asthma,C0004096,0.85,NA
3117,Multiple Sclerosis,C0026769,0.85,NA
5468,Malignant neoplasm of colon,C0007102,0.85,NA
862,Acute myeloid leukemia,C0023467,0.85,NA
56606,Hyperuricemia,C0740394,0.85,NA
9429,Hyperuricemia,C0740394,0.85,NA
4692,Prader Willi Syndrome,C0032897,0.85,NA
596,Adult-Onset Diabetes Mellitus,C0011860,0.85,NA
861,Thrombocytopenia,C0040034,0.85,NA
2815,Thrombocytopenia,C0040034,0.85,NA
5196,Thrombocytopenia,C0040034,0.85,NA
4609,"Lymphoma, Non Hodgkin's",C0024305,0.85,NA
6772,Rheumatoid arthritis,C0003873,0.85,NA
1401,HIV infection,C0019693,0.85,NA
7137,Acute Coronary Syndrome,C0948089,0.85,NA
2876,Adult-Onset Diabetes Mellitus,C0011860,0.85,NA
3479,Endometrioses,C0014175,0.85,NA
7412,Multiple Sclerosis,C0026769,0.85,NA
50943,Rheumatoid arthritis,C0003873,0.85,NA
6352,HIV infection,C0019693,0.85,NA
3553,Endometrioses,C0014175,0.85,NA
4312,Asthma,C0004096,0.85,NA
3586,Endometrioses,C0014175,0.85,NA
604,"Lymphoma, Non Hodgkin's",C0024305,0.85,NA
7852,Acute myeloid leukemia,C0023467,0.85,NA
6622,Gaucher Disease,C0017205,0.85,NA
6387,HIV infection,C0019693,0.85,NA
355,HIV infection,C0019693,0.85,NA
4353,Ulcerative colitis,C0009324,0.85,NA
3383,Multiple Sclerosis,C0026769,0.85,NA
4179,Multiple Sclerosis,C0026769,0.85,NA
2266,Thrombocytopenia,C0040034,0.85,NA
4318,Acute Coronary Syndrome,C0948089,0.85,NA
1234,Multiple Sclerosis,C0026769,0.85,NA
5443,Diabetes Mellitus,C0011849,0.85,NA
3569,"Bone Losses, Perimenopausal",C0029458,0.85,NA
2950,Acute myeloid leukemia,C0023467,0.85,NA
1437,Rheumatoid arthritis,C0003873,0.85,NA
134,Asthma,C0004096,0.85,NA
1493,Rheumatoid arthritis,C0003873,0.85,NA
1021,Acute myeloid leukemia,C0023467,0.85,NA
2078,Acute myeloid leukemia,C0023467,0.85,NA
7450,Hemophilia A,C0019069,0.85,NA
3704,Thrombocytopenia,C0040034,0.85,NA
4615,Chronic lymphocytic leukemia,C0023434,0.85,NA
974,Chronic lymphocytic leukemia,C0023434,0.85,NA
84634,Precocious puberty,C0034013,0.85,NA
2243,Thrombocytopenia,C0040034,0.85,NA
3605,Arthritic Psoriasis,C0003872,0.85,NA
4790,Adult-Onset Diabetes Mellitus,C0011860,0.85,NA
2244,Thrombocytopenia,C0040034,0.85,NA
5617,Endometrioses,C0014175,0.85,NA
3586,Multiple Sclerosis,C0026769,0.85,NA
1440,Thrombocytopenia,C0040034,0.85,NA
355,Multiple Sclerosis,C0026769,0.85,NA
7124,Hidradenitis Suppurativa,C0162836,0.85,NA
2796,Precocious puberty,C0034013,0.85,NA
213,Ulcerative colitis,C0009324,0.85,NA
1118,Gaucher Disease,C0017205,0.85,NA
1728,Acute myeloid leukemia,C0023467,0.85,NA
3606,Rheumatoid arthritis,C0003873,0.85,NA
3098,Adult-Onset Diabetes Mellitus,C0011860,0.85,NA
3676,Chronic lymphocytic leukemia,C0023434,0.85,NA
7431,Rheumatoid arthritis,C0003873,0.85,NA
4846,"Diabetes Mellitus, Insulin-Dependent",C0011854,0.85,NA
355,Adult-Onset Diabetes Mellitus,C0011860,0.85,NA
213,Thrombocytopenia,C0040034,0.85,NA
7010,Acute myeloid leukemia,C0023467,0.85,NA
3486,XO syndrome,C0041408,0.85,NA
50943,Asthma,C0004096,0.85,NA
7018,"Diabetes Mellitus, Insulin-Dependent",C0011854,0.85,NA
79870,Acute myeloid leukemia,C0023467,0.85,NA
2243,Pulmonary Embolism,C0034065,0.85,NA
114548,Multiple Sclerosis,C0026769,0.85,NA
6774,Acute myeloid leukemia,C0023467,0.85,NA
5741,"Bone Losses, Perimenopausal",C0029458,0.85,NA
